x,y,u0,v0,u,v,exx,eyy,exy,zncc,iteration,convergence,feature,
126.00000000,32.00000000,-0.44929203,-4.14955664,-0.43794483,-4.16252851,0.00000000,0.00000000,0.00000000,0.99693525,3.00000000,0.00049792,61.00000000,
128.00000000,32.00000000,-0.44989341,-4.15072823,-0.43916157,-4.16146374,0.00000000,0.00000000,0.00000000,0.99697292,3.00000000,0.00062941,55.00000000,
130.00000000,32.00000000,-0.45254800,-4.15316534,-0.44180018,-4.15739393,0.00000000,0.00000000,0.00000000,0.99688411,3.00000000,0.00087437,53.00000000,
132.00000000,32.00000000,-0.45321998,-4.15335131,-0.44123542,-4.15634298,0.00000000,0.00000000,0.00000000,0.99696022,3.00000000,0.00058154,48.00000000,
134.00000000,32.00000000,-0.45003828,-4.15459347,-0.44711721,-4.15272903,0.00000000,0.00000000,0.00000000,0.99691135,3.00000000,0.00088339,47.00000000,
136.00000000,32.00000000,-0.44946805,-4.15738010,-0.44573849,-4.15484047,0.00000000,0.00000000,0.00000000,0.99683601,3.00000000,0.00083627,44.00000000,
138.00000000,32.00000000,-0.45345014,-4.16207314,-0.44511229,-4.15251303,0.00000000,0.00000000,0.00000000,0.99679321,3.00000000,0.00047767,44.00000000,
140.00000000,32.00000000,-0.45629990,-4.16186237,-0.44100362,-4.15432167,0.00000000,0.00000000,0.00000000,0.99675965,3.00000000,0.00063473,45.00000000,
142.00000000,32.00000000,-0.45471597,-4.15876961,-0.44535914,-4.15627289,0.00000000,0.00000000,0.00000000,0.99692804,3.00000000,0.00074969,48.00000000,
144.00000000,32.00000000,-0.45633581,-4.15674782,-0.44792458,-4.15473413,0.00000000,0.00000000,0.00000000,0.99676698,3.00000000,0.00054860,47.00000000,
146.00000000,32.00000000,-0.45819420,-4.15292931,-0.44778132,-4.15541077,0.00000000,0.00000000,0.00000000,0.99667329,3.00000000,0.00038456,45.00000000,
148.00000000,32.00000000,-0.45821130,-4.15259647,-0.44382867,-4.15366030,0.00000000,0.00000000,0.00000000,0.99652696,4.00000000,0.00018056,45.00000000,
